n,u_n,v_n,w_n,abs_s_n,is_prime
516,4,5.235987755982989e-9,0,4,0
517,2,6.0737457969402675e-9,0,2,0
518,3,4.81710873550435e-9,0,3,0
519,2,1.8430676901060117e-8,0,2,0
520,5,2.5132741228718347e-9,0,5,0
521,0.9999999999999986,5.455899241734272e-8,0,0.9999999999999999,1
522,4,3.8746309394274115e-9,0,4,0
523,0.9999999999999984,5.4768431927582035e-8,0,1,1
524,3,1.413716694115407e-8,0,3,0
525,4,2.0943951023931954e-9,0,4,0
526,1.9999999999999996,2.7750735106709836e-8,0,1.9999999999999996,0
527,2,5.026548245743669e-9,0,2,0
528,6,2.303834612632515e-9,0,6,0
529,2,4.81710873550435e-9,0,2,0
530,3,6.283185307179587e-9,0,3,0
531,3,6.806784082777885e-9,0,3,0
532,4,3.141592653589793e-9,0,4,0
533,2,5.654866776461628e-9,0,2,0
534,3,9.84365698124802e-9,0,3,0
535,2,1.1728612573401894e-8,0,2,0
536,4,7.644542123735163e-9,0,4,0
537,1.9999999999999998,1.9058995431778076e-8,0,1.9999999999999998,0
538,1.9999999999999996,2.8379053637427795e-8,0,1.9999999999999996,0
539,3,2.6179938779914945e-9,0,3,0
540,6,1.884955592153876e-9,0,6,0
541,0.9999999999999984,5.665338751973591e-8,0,1,1
542,1.9999999999999996,2.8588493147667114e-8,0,1.9999999999999996,0
543,1.9999999999999998,1.9268434942017396e-8,0,1.9999999999999998,0
544,6,2.827433388230814e-9,0,6,0
545,2,1.1938052083641214e-8,0,2,0
546,4,2.6179938779914945e-9,0,4,0
547,0.9999999999999983,5.7281706050453864e-8,0,0.9999999999999999,1
548,3,1.4765485471872029e-8,0,3,0
549,3,7.016223593017205e-9,0,3,0
550,4,2.408554367752175e-9,0,4,0
551,2,5.026548245743669e-9,0,2,0
552,5,3.351032163829113e-9,0,5,0
553,2,9.00589894029074e-9,0,2,0
554,1.9999999999999996,2.9216811678385073e-8,0,1.9999999999999996,0
555,3,4.71238898038469e-9,0,3,0
556,3,1.497492498211135e-8,0,3,0
557,0.9999999999999983,5.832890360165046e-8,0,0.9999999999999999,1
558,4,4.084070449666731e-9,0,4,0
559,2,5.864306286700948e-9,0,2,0
560,6,2.0943951023931954e-9,0,6,0
561,3,3.2463124087094534e-9,0,3,0
562,1.9999999999999996,2.9635690698863712e-8,0,1.9999999999999996,0
563,0.9999999999999982,5.895722213236842e-8,0,1,1
564,4,5.654866776461628e-9,0,4,0
565,2,1.2356931104119853e-8,0,2,0
566,1.9999999999999996,2.984513020910303e-8,0,1.9999999999999996,0
567,5,1.9896753472735356e-9,0,5,0
568,4,8.063421144213802e-9,0,4,0
569,0.9999999999999982,5.9585540663086376e-8,0,1,1
570,4,3.0368728984701334e-9,0,4,0
571,0.9999999999999982,5.979498017332569e-8,0,1,1
572,4,2.932153143350474e-9,0,4,0
573,1.9999999999999998,2.0315632493213994e-8,0,1.9999999999999998,0
574,3,5.235987755982989e-9,0,3,0
575,3,3.4557519189487726e-9,0,3,0
576,8,1.8849555921538762e-9,0,8,0
577,0.9999999999999982,6.042329870404365e-8,0,1,1
578,3,3.769911184307752e-9,0,3,0
579,1.9999999999999998,2.0525072003453314e-8,0,1.9999999999999998,0
580,4,3.979350694547071e-9,0,4,0
581,2,9.42477796076938e-9,0,2,0
582,3,1.0681415022205298e-8,0,3,0
583,2,6.7020643276582264e-9,0,2,0
584,4,8.272860654453122e-9,0,4,0
585,4,2.5132741228718347e-9,0,4,0
